episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
27,default,250,0,0,0,0,-333.0466,-293.6018,-0.0009,0.0000,0.0847,0.0345,0.0000,0.0000,0.1609,0.0000,0.0000,0.6085,3.251209,-1.604646,2.0000,3.0000,3.0000,0.0000,0.0000
28,default,250,0,1,1,0,-311.9460,-168.1814,-0.0001,0.0200,0.0590,0.0167,0.0000,0.0000,0.2998,0.0000,0.0000,0.6746,3.175933,-2.495949,1.1240,5.6160,5.6160,0.0000,0.0000
29,default,250,0,0,0,0,-361.2717,-457.4839,-0.0002,0.0000,0.0607,0.0195,0.0000,0.0000,0.3109,0.0000,0.0000,0.5946,2.758760,-3.044511,2.0000,3.0000,3.0000,0.0000,0.0000
30,default,250,0,-1,0,1,-438.1444,-140.5870,-0.0004,0.0000,0.0485,0.0335,0.0000,0.0000,0.4544,0.0000,0.0000,0.7301,2.584501,-3.220270,1.3120,5.0520,5.0520,0.0000,0.0000
31,default,250,0,0,0,0,-355.3878,-357.7234,-0.0006,0.0000,-0.0652,0.0395,0.0000,0.0000,0.1474,0.0000,0.0000,0.6289,2.331259,-3.363375,2.0000,3.0000,3.0000,0.0000,0.0000
32,default,250,0,-1,0,1,-411.7530,-80.4781,-0.0010,0.0000,0.0347,0.0630,0.0000,0.0000,0.1436,0.0000,0.0000,0.7521,2.101048,-3.336309,1.3280,5.0040,5.0040,0.0000,0.0000
33,default,250,0,0,0,0,-339.9579,-392.6902,-0.0008,0.0000,0.0470,0.0448,0.0000,0.0000,0.0039,0.0000,0.0000,0.6144,1.767250,-3.261393,2.0000,3.0000,3.0000,0.0000,0.0000
34,default,250,0,-1,0,1,-385.1410,-70.2636,-0.0004,0.0000,0.0522,0.0669,0.0000,0.0000,0.5815,0.0000,0.0000,0.7799,2.094912,-3.073663,1.3480,4.9440,4.9440,0.0000,0.0000
35,default,88,0,-1,0,2,-167.6779,55.7624,-0.0011,0.0000,0.0085,0.1835,0.0000,0.0000,0.3399,0.0000,0.0000,0.8590,1.621131,-3.133430,1.9432,3.1023,3.1023,0.0000,0.0000
36,default,79,0,-1,1,1,-74.7240,35.1896,-0.0018,0.0633,-0.0089,0.1369,0.0000,0.0000,0.1112,0.0000,0.0000,0.8570,3.074492,-3.359790,1.5443,4.2911,4.2911,0.0000,0.0000
37,default,90,0,-1,0,2,-161.2906,52.5495,-0.0016,0.0000,-0.0066,0.1830,0.0000,0.0000,0.2230,0.0000,0.0000,0.8599,4.821704,-3.580852,1.9000,3.2333,3.2333,0.0000,0.0000
