episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
27,default,250,0,0,0,0,-341.9455,-424.5413,-0.0000,0.0000,0.0642,0.0289,0.0000,0.0000,0.0266,0.0000,0.0000,0.3749,1.516684,0.170476,2.0000,0.7320,5.2680,2.2680,0.4760
28,default,250,0,-1,0,1,-381.9393,-94.4529,-0.0003,0.0000,0.0549,0.0510,0.0000,0.0000,0.0540,0.0000,0.0000,0.5177,1.811062,-0.113704,1.3200,4.2320,5.8240,0.7960,0.9800
29,default,250,0,-1,0,1,-387.4397,-89.0940,-0.0003,0.0000,0.0755,0.0488,0.0000,0.0000,0.2513,0.0000,0.0000,0.5578,1.999441,-0.691397,1.3240,4.5840,5.4480,0.4320,1.1480
30,default,250,0,0,0,0,-330.0576,-423.3319,-0.0003,0.0000,0.0681,0.0305,0.0000,0.0000,0.1046,0.0000,0.0000,0.3749,2.153463,-0.620581,2.0000,1.9560,4.0440,1.0440,0.5640
31,default,250,0,0,0,0,-283.2915,-246.2333,-0.0004,0.0000,0.0826,0.0451,0.0000,0.0000,0.1246,0.0000,0.0000,0.6176,1.650865,-0.735188,2.0000,1.4200,4.5800,1.5800,1.0880
32,default,250,0,-1,0,1,-327.1690,-77.6186,-0.0003,0.0000,0.0796,0.0514,0.0000,0.0000,0.1267,0.0000,0.0000,0.5646,1.504284,-0.970225,1.3560,4.4280,5.4120,0.4920,1.1440
33,default,250,0,0,0,0,-269.3559,-421.5198,-0.0003,0.0000,0.0645,0.0321,0.0000,0.0000,0.0850,0.0000,0.0000,0.4680,1.851369,-1.561076,2.0000,1.7240,4.2760,1.2760,0.5880
34,default,250,0,0,0,0,-264.3177,-424.7370,-0.0004,0.0000,0.0703,0.0297,0.0000,0.0000,0.1037,0.0000,0.0000,0.4478,1.596102,-2.804654,2.0000,1.3640,4.6360,1.6360,0.4360
35,default,250,0,1,1,0,-218.5932,-307.9513,-0.0002,0.0200,-0.0049,0.0175,0.0000,0.0000,0.0000,0.0000,0.0000,0.2434,1.954114,-2.955892,1.1280,5.4080,5.8000,0.1960,0.1400
36,default,250,0,-1,0,1,-323.2474,-277.5217,-0.0001,0.0000,-0.0126,0.0376,0.0000,0.0000,0.0020,0.0000,0.0000,0.2648,1.683688,-2.971102,1.3440,4.6680,5.2440,0.2880,0.3560
37,default,250,0,0,0,0,-265.8843,-407.8141,-0.0003,0.0000,0.0721,0.0342,0.0000,0.0000,0.0814,0.0000,0.0000,0.4982,1.853227,-3.023725,2.0000,1.6480,4.3520,1.3520,0.5280
38,default,250,0,0,0,0,-262.2371,-428.7380,-0.0004,0.0000,0.0633,0.0283,0.0000,0.0000,0.0819,0.0000,0.0000,0.5084,1.893545,-2.997477,2.0000,1.5640,4.4360,1.4360,0.4880
39,default,250,0,1,1,0,-218.9983,-305.5078,-0.0001,0.0200,-0.0019,0.0197,0.0000,0.0000,0.0051,0.0000,0.0000,0.2599,1.943205,-2.925566,1.1600,5.1720,5.8440,0.3360,0.1440
40,default,250,0,-1,0,1,-325.1845,-93.1030,-0.0006,0.0000,0.0621,0.0507,0.0000,0.0000,0.3173,0.0000,0.0000,0.5784,2.186127,-2.774446,1.3280,4.6120,5.3960,0.3920,1.1520
41,default,80,0,-1,1,1,-91.3380,29.9501,-0.0004,0.0625,-0.0672,0.1587,0.0000,0.0000,0.0026,0.0000,0.0000,0.7900,2.474548,-2.736891,1.8375,1.7875,5.0375,1.6250,1.1625
42,default,250,0,-1,0,1,-324.0905,-87.0649,-0.0007,0.0000,0.0756,0.0486,0.0000,0.0000,0.3249,0.0000,0.0000,0.5756,3.455954,-2.806400,1.3120,4.4920,5.6120,0.5600,1.0240
43,default,250,0,0,0,0,-267.7042,-402.2101,-0.0002,0.0000,0.0749,0.0343,0.0000,0.0000,0.0777,0.0000,0.0000,0.4504,3.519148,-2.930872,2.0000,1.2520,4.7480,1.7480,0.3560
44,default,250,0,-1,0,1,-321.5111,-271.5646,-0.0001,0.0000,0.0001,0.0389,0.0000,0.0000,0.0515,0.0000,0.0000,0.3028,3.789703,-3.065766,1.3200,4.4400,5.6160,0.5880,0.2520
45,default,250,0,-1,0,1,-268.3370,-87.7362,-0.0007,0.0000,0.0725,0.0489,0.0000,0.0000,0.1950,0.0000,0.0000,0.5513,3.648166,-4.004523,1.3120,4.5640,5.5400,0.4880,1.1120
46,default,250,0,-1,0,1,-259.9953,-271.9519,-0.0002,0.0000,-0.0051,0.0377,0.0000,0.0000,0.0222,0.0000,0.0000,0.2975,4.244623,-4.712886,1.3240,4.3680,5.6640,0.6480,0.3080
47,default,250,0,-1,0,1,-254.4809,-82.9195,-0.0005,0.0000,0.0651,0.0528,0.0000,0.0000,0.1968,0.0000,0.0000,0.5681,4.742500,-4.874318,1.3560,4.0200,5.8200,0.9000,0.9800
48,default,250,0,-1,0,1,-259.1371,-78.2604,-0.0003,0.0000,0.0716,0.0523,0.0000,0.0000,0.1841,0.0000,0.0000,0.5624,4.226010,-4.950468,1.3160,4.2400,5.8400,0.8000,0.9800
49,default,250,0,-1,0,1,-257.8816,-271.3402,-0.0001,0.0000,-0.0077,0.0396,0.0000,0.0000,0.0056,0.0000,0.0000,0.3015,3.594279,-4.969616,1.3400,4.2920,5.6440,0.6760,0.3240
50,default,250,0,1,1,0,-151.3407,-317.3741,-0.0000,0.0200,-0.0291,0.0223,0.0000,0.0000,0.0072,0.0000,0.0000,0.3499,3.970758,-5.020904,1.1840,5.1160,5.7560,0.3200,0.1680
51,default,250,0,-1,0,1,-263.6730,-82.3462,-0.0003,0.0000,0.0824,0.0524,0.0000,0.0000,0.1989,0.0000,0.0000,0.6098,3.669490,-5.052766,1.3560,4.3320,5.5080,0.5880,1.0240
52,default,250,0,-1,0,1,-260.4184,-275.7521,-0.0000,0.0000,-0.0034,0.0344,0.0000,0.0000,0.0206,0.0000,0.0000,0.3022,4.019796,-4.845937,1.3200,4.2680,5.7880,0.7600,0.3040
53,default,250,0,-1,0,1,-261.1396,-269.0703,-0.0001,0.0000,0.0003,0.0428,0.0000,0.0000,0.0259,0.0000,0.0000,0.4305,3.795131,-4.603448,1.3520,4.3600,5.5040,0.5720,0.3960
54,default,250,0,-1,0,1,-258.2719,-269.8529,-0.0000,0.0000,-0.0020,0.0383,0.0000,0.0000,0.0150,0.0000,0.0000,0.2961,3.366594,-4.531336,1.3240,4.3440,5.6880,0.6720,0.3080
55,default,91,0,-1,1,1,-65.2697,35.3092,-0.0005,0.0916,-0.0072,0.1151,0.0000,0.0000,0.0270,0.0000,0.0000,0.9202,3.652568,-4.517230,1.2747,4.3187,5.9011,0.7912,0.9451
56,default,250,0,0,0,0,-198.6419,-426.8253,-0.0001,0.0000,0.0106,0.0357,0.0000,0.0000,0.0165,0.0000,0.0000,0.4768,5.063393,-4.358807,2.0000,1.5480,4.4520,1.4520,0.3440
57,default,250,0,-1,0,1,-260.7872,-274.7963,-0.0000,0.0000,-0.0036,0.0409,0.0000,0.0000,0.0122,0.0000,0.0000,0.4251,4.800904,-4.254788,1.3480,4.4800,5.4080,0.4640,0.3320
58,default,250,0,-1,0,1,-255.5427,-264.2195,-0.0001,0.0000,0.0005,0.0412,0.0000,0.0000,0.0092,0.0000,0.0000,0.4308,4.471234,-4.203394,1.3360,4.3000,5.6600,0.6800,0.3200
59,default,250,0,-1,0,1,-260.0164,-266.6760,-0.0000,0.0000,-0.0009,0.0435,0.0000,0.0000,0.0736,0.0000,0.0000,0.3527,4.821059,-4.125143,1.3520,4.3160,5.5480,0.6160,0.3760
60,default,250,0,-1,0,1,-257.6913,-288.3234,-0.0000,0.0000,0.0007,0.0335,0.0000,0.0000,0.0295,0.0000,0.0000,0.3207,4.996623,-4.003737,1.3400,4.1680,5.7680,0.8000,0.3240
61,default,250,0,-1,0,1,-253.5818,-289.7301,-0.0001,0.0000,-0.0021,0.0359,0.0000,0.0000,0.0043,0.0000,0.0000,0.2759,4.529541,-3.846296,1.3360,4.1560,5.8040,0.8240,0.3200
62,default,250,0,-1,0,1,-256.4540,-91.4310,-0.0005,0.0000,0.0252,0.0601,0.0000,0.0000,0.2193,0.0000,0.0000,0.7505,3.794329,-3.548441,1.3440,4.2680,5.6440,0.6880,0.9960
63,default,250,0,-1,0,1,-255.9944,-97.6985,-0.0005,0.0000,0.0204,0.0558,0.0000,0.0000,0.2200,0.0000,0.0000,0.7357,2.918550,-3.240682,1.3360,4.3560,5.6040,0.6240,1.0360
64,default,250,0,0,0,0,-198.0945,-452.7934,-0.0001,0.0000,0.0045,0.0337,0.0000,0.0000,0.0213,0.0000,0.0000,0.5249,3.396592,-3.056879,2.0000,1.5880,4.4120,1.4120,0.3520
65,default,250,0,-1,0,1,-260.3558,-100.0371,-0.0005,0.0000,0.0303,0.0519,0.0000,0.0000,0.2220,0.0000,0.0000,0.6553,2.628954,-2.910972,1.3120,4.5320,5.5720,0.5200,1.0600
66,default,250,0,-1,0,1,-259.4939,-298.2385,-0.0001,0.0000,-0.0075,0.0322,0.0000,0.0000,0.0092,0.0000,0.0000,0.2704,3.281700,-2.635248,1.3360,4.2760,5.6840,0.7040,0.3120
67,default,250,0,-1,0,1,-257.4609,-300.3813,-0.0000,0.0000,-0.0109,0.0336,0.0000,0.0000,0.0149,0.0000,0.0000,0.3726,3.048856,-2.505991,1.3520,4.1200,5.7440,0.8120,0.3320
68,default,250,0,-1,0,1,-258.3529,-291.2593,-0.0000,0.0000,-0.0005,0.0353,0.0000,0.0000,0.0249,0.0000,0.0000,0.4105,2.948930,-2.361951,1.3320,4.2120,5.7720,0.7800,0.3120
69,default,250,0,0,0,0,-196.6748,-255.3683,-0.0006,0.0000,0.0398,0.0559,0.0000,0.0000,0.2211,0.0000,0.0000,0.7319,2.542754,-2.318234,2.0000,0.5520,5.4480,2.4480,1.0360
70,default,250,0,-1,0,1,-258.6153,-290.7885,-0.0001,0.0000,-0.0015,0.0369,0.0000,0.0000,0.0069,0.0000,0.0000,0.4023,2.656794,-2.181200,1.3440,4.2600,5.6520,0.6960,0.2800
71,default,250,0,-1,0,1,-258.4687,-85.7544,-0.0006,0.0000,0.0241,0.0621,0.0000,0.0000,0.2493,0.0000,0.0000,0.7512,2.564971,-1.987328,1.3320,4.3880,5.5960,0.6040,0.9880
72,default,250,0,-1,0,1,-263.0176,-289.4620,-0.0001,0.0000,-0.0027,0.0386,0.0000,0.0000,0.0108,0.0000,0.0000,0.4067,2.436604,-1.842489,1.3520,4.0600,5.8040,0.8720,0.3320
73,default,250,0,0,0,0,-195.9995,-441.2632,-0.0002,0.0000,0.0147,0.0372,0.0000,0.0000,0.0138,0.0000,0.0000,0.4920,2.484830,-1.668188,2.0000,0.8720,5.1280,2.1280,0.3280
