episode,stage,steps,capture_success,outcome_code,captured_target_count,escaped_target_count,total_reward_hunters,total_reward_targets,avg_chase_reward,avg_capture_reward,avg_escape_reward,avg_alignment_reward,avg_gap_reward,avg_stuck_penalty,avg_blocked_chase,avg_containment_reward,avg_role_geometry_reward,avg_escape_bandwidth,avg_critic_loss,avg_actor_loss,avg_active_targets,avg_min_group_size,avg_max_group_size,avg_group_size_std,avg_interceptors
27,default,250,0,0,0,0,-15.3187,-1007.0618,-0.0011,0.0000,-0.0027,0.0400,0.0000,0.0000,0.0161,0.0000,0.0000,0.3059,2.508932,-16.626819,2.0000,3.0000,3.0000,0.0000,0.1880
28,default,250,0,1,1,0,8.3172,-486.4514,-0.0011,0.0040,-0.0098,0.0537,0.0000,0.0000,0.0154,0.0000,0.0000,0.2407,2.897962,-17.973748,1.2120,5.3520,5.3520,0.0000,0.3200
29,default,250,0,1,1,0,7.3849,-482.6538,-0.0011,0.0040,-0.0096,0.0551,0.0000,0.0000,0.0168,0.0000,0.0000,0.4721,2.335535,-18.517118,1.1960,5.4000,5.4000,0.0000,0.3040
30,default,250,0,0,0,0,-9.3318,-998.8228,-0.0005,0.0000,-0.0016,0.0416,0.0000,0.0000,0.0080,0.0000,0.0000,0.4227,2.447226,-18.830873,2.0000,3.0000,3.0000,0.0000,0.2000
31,default,250,0,0,0,0,-7.1374,-983.9599,0.0001,0.0000,-0.0022,0.0466,0.0000,0.0000,0.0447,0.0000,0.0000,0.3054,2.536785,-18.954158,2.0000,3.0000,3.0000,0.0000,0.2240
32,default,250,0,0,0,0,-5.6967,-998.8295,0.0002,0.0000,-0.0009,0.0412,0.0000,0.0000,0.0164,0.0000,0.0000,0.4688,2.569908,-19.092081,2.0000,3.0000,3.0000,0.0000,0.2000
33,default,250,0,0,0,0,-7.2029,-1008.0591,-0.0008,0.0000,-0.0005,0.0391,0.0000,0.0000,0.0085,0.0000,0.0000,0.2521,2.286858,-19.433871,2.0000,3.0000,3.0000,0.0000,0.1880
34,default,250,0,0,0,0,-5.2270,-975.2521,0.0005,0.0000,-0.0018,0.0521,0.0000,0.0000,0.0193,0.0000,0.0000,0.3633,2.500024,-19.381902,2.0000,3.0000,3.0000,0.0000,0.2400
35,default,250,0,1,1,0,9.4036,-188.3266,-0.0037,0.0040,0.0173,0.0823,0.0000,0.0000,0.0000,0.0000,0.0000,0.6895,2.489762,-18.971619,1.1200,5.6280,5.6280,0.0000,1.0840
36,default,250,0,0,0,0,-4.1305,-985.1836,0.0012,0.0000,-0.0012,0.0459,0.0000,0.0000,0.1264,0.0000,0.0000,0.3753,2.342960,-18.416039,2.0000,3.0000,3.0000,0.0000,0.2200
37,default,250,0,0,0,0,-10.9520,-363.8639,-0.0033,0.0000,0.0273,0.1349,0.0000,0.0000,0.0067,0.0000,0.0000,0.7083,2.385453,-18.069810,2.0000,3.0000,3.0000,0.0000,1.9600
38,default,250,0,0,0,0,-7.2190,-1022.4643,-0.0008,0.0000,-0.0023,0.0343,0.0000,0.0000,0.0320,0.0000,0.0000,0.2149,2.353559,-18.193687,2.0000,3.0000,3.0000,0.0000,0.1680
39,default,250,0,0,0,0,-8.2774,-1010.0630,-0.0005,0.0000,-0.0000,0.0371,0.0000,0.0000,0.0192,0.0000,0.0000,0.2651,2.409266,-18.252537,2.0000,3.0000,3.0000,0.0000,0.1840
40,default,31,1,2,2,0,80.2358,3.2006,0.0121,0.0968,-0.0486,0.2990,0.0000,0.0000,0.0155,0.0000,0.0000,0.7581,1.967450,-18.035864,1.7742,3.4839,3.4839,0.0000,1.5161
41,default,28,1,2,2,0,79.8176,-4.8167,0.0110,0.1071,-0.1231,0.2913,0.0000,0.0000,0.0000,0.0000,0.0000,0.6747,3.125265,-18.181742,1.8571,3.2143,3.2143,0.0000,1.5714
42,default,23,1,2,2,0,79.5687,-1.7472,0.0114,0.1304,-0.0343,0.2774,0.0000,0.0000,0.0082,0.0000,0.0000,0.7833,2.588540,-18.213860,1.8261,3.2609,3.2609,0.0000,1.4783
43,default,36,1,2,2,0,80.2046,-12.5804,0.0109,0.0833,-0.1320,0.2912,0.0000,0.0000,0.0187,0.0000,0.0000,0.5707,2.819230,-18.170616,1.7222,3.6667,3.6667,0.0000,1.5000
44,default,29,1,2,2,0,79.5179,0.9599,0.0110,0.1034,-0.0647,0.2892,0.0000,0.0000,0.0022,0.0000,0.0000,0.7575,2.513157,-18.168021,1.7241,3.6207,3.6207,0.0000,1.4483
45,default,250,0,1,1,0,11.7444,-516.5256,-0.0003,0.0040,-0.0069,0.0357,0.0000,0.0000,0.0076,0.0000,0.0000,0.2193,3.553735,-17.983298,1.1040,5.6760,5.6760,0.0000,0.1600
46,default,88,0,-1,1,1,-66.8485,36.3270,-0.0110,0.0114,-0.0365,0.2291,0.0000,0.0000,0.0018,0.0000,0.0000,0.6619,2.985234,-17.870901,1.1932,5.3523,5.3523,0.0000,1.1023
47,default,28,1,2,2,0,79.0628,1.5745,0.0063,0.1071,-0.0252,0.2761,0.0000,0.0000,0.0110,0.0000,0.0000,0.8019,2.683651,-17.916442,1.7143,3.6429,3.6429,0.0000,1.4286
48,default,84,0,-1,1,1,-67.9690,36.6624,-0.0155,0.0119,-0.0320,0.2471,0.0000,0.0000,0.0013,0.0000,0.0000,0.7355,3.364783,-17.799556,1.2738,5.1071,5.1071,0.0000,1.1786
49,default,250,0,-1,0,1,-70.2071,-483.2062,-0.0017,0.0000,-0.0162,0.0788,0.0000,0.0000,0.0080,0.0000,0.0000,0.2729,6.202050,-17.567371,1.3240,5.0160,5.0160,0.0000,0.3960
50,default,250,0,1,1,0,14.1145,-515.4369,0.0001,0.0040,-0.0039,0.0277,0.0000,0.0000,0.0080,0.0000,0.0000,0.3036,5.626490,-17.363443,1.0920,5.7120,5.7120,0.0000,0.1520
51,default,250,0,1,1,0,14.1734,-504.9012,0.0006,0.0040,-0.0127,0.0366,0.0000,0.0000,0.0173,0.0000,0.0000,0.2189,5.357908,-17.152241,1.1080,5.6640,5.6640,0.0000,0.1880
52,default,29,1,2,2,0,79.0695,3.0534,0.0061,0.1034,-0.0304,0.2987,0.0000,0.0000,0.0125,0.0000,0.0000,0.8200,5.478513,-17.004745,1.7931,3.4138,3.4138,0.0000,1.5172
